#Assay	Accession	SRA Accession	Replicate	Sample ID	Yeast Target Common Name
ChIP-exo	GSM4450154	SRX8043345	rep2	20452	Stp4
ChIP-exo	GSM4450155	SRX8043346	rep1	11743	Sua7
ChIP-exo	GSM4450156	SRX8043347	rep2	12275	Sua7
ChIP-exo	GSM4450157	SRX8043348	rep3	20022	Sua7
ChIP-exo	GSM4450158	SRX8043349	rep1	17124	Sub1
ChIP-exo	GSM4450159	SRX8043350	rep2	18459	Sub1
ChIP-exo	GSM4450160	SRX8043351	rep3	20006	Sub1
ChIP-exo	GSM4450161	SRX8043712	rep1	11809	Sum1
ChIP-exo	GSM4450162	SRX8043713	rep2	13776	Sum1
ChIP-exo	GSM4450163	SRX8043714	rep1	11997	Sut1
ChIP-exo	GSM4450164	SRX8043715	rep2	14176	Sut1
ChIP-exo	GSM4450165	SRX8043716	rep1	12433	Suv3
ChIP-exo	GSM4450166	SRX8043717	rep1	11839	Swc7
ChIP-exo	GSM4450167	SRX8043718	rep2	15785	Swc7
ChIP-exo	GSM4450168	SRX8043719	rep1	17801	Swd1
ChIP-exo	GSM4450169	SRX8043720	rep2	19312	Swd1
ChIP-exo	GSM4450170	SRX8043721	rep1	11987	Swd2
ChIP-exo	GSM4450171	SRX8043722	rep2	17977	Swd2
ChIP-exo	GSM4450172	SRX8043723	rep1	14814	Swd3
ChIP-exo	GSM4450173	SRX8043724	rep2	17972	Swd3
ChIP-exo	GSM4450174	SRX8043725	rep1	11995	Swi1
ChIP-exo	GSM4450175	SRX8043726	rep2	17859	Swi1
ChIP-exo	GSM4450176	SRX8043727	rep1	12102	Swi3
ChIP-exo	GSM4450177	SRX8043728	rep2	14277	Swi3
ChIP-exo	GSM4450178	SRX8043729	rep1	12000	Swi4
ChIP-exo	GSM4450179	SRX8043730	rep2	13786	Swi4
ChIP-exo	GSM4450180	SRX8043731	rep1	12059	Swi5
ChIP-exo	GSM4450181	SRX8043732	rep2	18016	Swi5
ChIP-exo	GSM4450182	SRX8043733	rep1	12015	Swi6
ChIP-exo	GSM4450183	SRX8043734	rep2	18001	Swi6
ChIP-exo	GSM4450184	SRX8043735	rep1	11751	Swr1
ChIP-exo	GSM4450185	SRX8043769	rep2	15779	Swr1
ChIP-exo	GSM4450186	SRX8043770	rep1	11744	Taf1
ChIP-exo	GSM4450187	SRX8043771	rep2	15184	Taf1
ChIP-exo	GSM4450188	SRX8043772	rep3	20007	Taf1
ChIP-exo	GSM4450189	SRX8043773	rep1	11741	Taf10
ChIP-exo	GSM4450190	SRX8043774	rep2	15185	Taf10
ChIP-exo	GSM4450191	SRX8043775	rep3	20008	Taf10
ChIP-exo	GSM4450192	SRX8043776	rep1	12856	Taf11
ChIP-exo	GSM4450193	SRX8043777	rep2	17944	Taf11
ChIP-exo	GSM4450194	SRX8043778	rep1	11863	Taf12
ChIP-exo	GSM4450195	SRX8043779	rep2	15775	Taf12
ChIP-exo	GSM4450196	SRX8043780	rep1	11860	Taf13
ChIP-exo	GSM4450197	SRX8043781	rep2	15209	Taf13
ChIP-exo	GSM4450198	SRX8043782	rep1	17574	Taf14
ChIP-exo	GSM4450199	SRX8043783	rep2	17961	Taf14
ChIP-exo	GSM4450200	SRX8043784	rep3	20012	Taf14
ChIP-exo	GSM4450201	SRX8043785	rep1	11846	Taf2
ChIP-exo	GSM4450202	SRX8043786	rep2	15198	Taf2
ChIP-exo	GSM4450203	SRX8043787	rep3	20013	Taf2
ChIP-exo	GSM4450204	SRX8043788	rep1	11861	Taf3
ChIP-exo	GSM4450205	SRX8043789	rep2	17873	Taf3
ChIP-exo	GSM4450206	SRX8043790	rep1	15183	Taf4
ChIP-exo	GSM4450207	SRX8043791	rep2	17874	Taf4
ChIP-exo	GSM4450208	SRX8043792	rep3	20015	Taf4
ChIP-exo	GSM4450209	SRX8043865	rep1	11768	Taf5
ChIP-exo	GSM4450210	SRX8043866	rep2	15190	Taf5
ChIP-exo	GSM4450211	SRX8043867	rep3	20016	Taf5
ChIP-exo	GSM4450212	SRX8043868	rep1	11864	Taf6
ChIP-exo	GSM4450213	SRX8043869	rep2	15206	Taf6
ChIP-exo	GSM4450214	SRX8043870	rep3	20017	Taf6
ChIP-exo	GSM4450215	SRX8043871	rep1	11988	TAF7
ChIP-exo	GSM4450216	SRX8043872	rep2	15208	TAF7
ChIP-exo	GSM4450217	SRX8043873	rep3	20018	TAF7
ChIP-exo	GSM4450218	SRX8043874	rep1	11740	Taf8
ChIP-exo	GSM4450219	SRX8043875	rep2	15186	Taf8
ChIP-exo	GSM4450220	SRX8043876	rep1	11865	Taf9
ChIP-exo	GSM4450221	SRX8043877	rep2	15205	Taf9
ChIP-exo	GSM4450222	SRX8043878	rep1	14868	Tap42
ChIP-exo	GSM4450223	SRX8043879	rep1	11825	Tbf1
ChIP-exo	GSM4450224	SRX8043880	rep2	14155	Tbf1
ChIP-exo	GSM4450225	SRX8043881	rep1	11845	Tbs1
ChIP-exo	GSM4450226	SRX8043882	rep2	14162	Tbs1
ChIP-exo	GSM4450227	SRX8043883	rep1	17880	Tda9
ChIP-exo	GSM4450228	SRX8043884	rep2	20453	Tda9
ChIP-exo	GSM4450229	SRX8043885	rep1	14369	Tea1
ChIP-exo	GSM4450230	SRX8043886	rep2	14657	Tea1
ChIP-exo	GSM4450231	SRX8043887	rep1	17223	Tec1
ChIP-exo	GSM4450232	SRX8043888	rep1	17134	Tel2
ChIP-exo	GSM4450233	SRX8042728	rep1	12101	TFA1
ChIP-exo	GSM4450234	SRX8042729	rep2	14276	TFA1
ChIP-exo	GSM4450235	SRX8042730	rep3	20023	TFA1
ChIP-exo	GSM4450236	SRX8042731	rep1	12100	Tfa2
ChIP-exo	GSM4450237	SRX8042732	rep2	14600	Tfa2
ChIP-exo	GSM4450238	SRX8042733	rep1	14472	Tfb1
ChIP-exo	GSM4450239	SRX8042734	rep2	14971	Tfb1
ChIP-exo	GSM4450240	SRX8042735	rep1	14651	Tfb2
ChIP-exo	GSM4450241	SRX8042736	rep2	17795	Tfb2
ChIP-exo	GSM4450242	SRX8042737	rep1	11870	Tfb3
ChIP-exo	GSM4450243	SRX8042738	rep2	14257	Tfb3
ChIP-exo	GSM4450244	SRX8042739	rep1	11871	Tfb4
ChIP-exo	GSM4450245	SRX8042740	rep2	14258	Tfb4
ChIP-exo	GSM4450246	SRX8042741	rep1	17137	Tfb6
ChIP-exo	GSM4450247	SRX8042742	rep1	11867	TFC1
ChIP-exo	GSM4450248	SRX8042743	rep2	14166	TFC1
ChIP-exo	GSM4450249	SRX8042744	rep1	11835	Tfc3
ChIP-exo	GSM4450250	SRX8042745	rep2	13779	Tfc3
ChIP-exo	GSM4450251	SRX8042746	rep1	14821	Tfc4
ChIP-exo	GSM4450252	SRX8042747	rep2	17966	Tfc4
ChIP-exo	GSM4450253	SRX8042748	rep1	11986	TFC6
ChIP-exo	GSM4450254	SRX8042749	rep2	17981	TFC6
ChIP-exo	GSM4450255	SRX8042750	rep1	11838	Tfc7
ChIP-exo	GSM4450256	SRX8042751	rep2	14159	Tfc7
ChIP-exo	GSM4450257	SRX8043112	rep1	11836	Tfc8
ChIP-exo	GSM4450258	SRX8043113	rep2	14158	Tfc8
ChIP-exo	GSM4450259	SRX8043114	rep1	12099	Tfg1
ChIP-exo	GSM4450260	SRX8043115	rep2	14275	Tfg1
ChIP-exo	GSM4450261	SRX8043116	rep1	17563	Tfg2
ChIP-exo	GSM4450262	SRX8043117	rep1	12069	Thi3
ChIP-exo	GSM4450263	SRX8043118	rep1	14353	Tho1
ChIP-exo	GSM4450264	SRX8043119	rep2	17806	Tho1
ChIP-exo	GSM4450265	SRX8043120	rep1	11984	Thp1
ChIP-exo	GSM4450266	SRX8043121	rep1	14647	Thp2
ChIP-exo	GSM4450267	SRX8043122	rep2	17872	Thp2
ChIP-exo	GSM4450268	SRX8043123	rep1	14364	Tif1
ChIP-exo	GSM4450269	SRX8043124	rep1	14466	Tip41
ChIP-exo	GSM4450270	SRX8043125	rep1	12463	Tma46
ChIP-exo	GSM4450271	SRX8043126	rep1	14838	TOA1
ChIP-exo	GSM4450272	SRX8043127	rep2	17053	TOA1
ChIP-exo	GSM4450273	SRX8043128	rep3	20021	TOA1
ChIP-exo	GSM4450274	SRX8043129	rep1	17123	Tod6
ChIP-exo	GSM4450275	SRX8043130	rep1	17144	Tom1
ChIP-exo	GSM4450276	SRX8043131	rep1	11821	TOP1
ChIP-exo	GSM4450277	SRX8043132	rep2	17771	TOP1
ChIP-exo	GSM4450278	SRX8043133	rep1	17140	Top2
ChIP-exo	GSM4450279	SRX8043134	rep1	16031	Top3
ChIP-exo	GSM4450280	SRX8043135	rep1	11906	Tor1
ChIP-exo	GSM4450281	SRX8043136	rep1	17121	Tos4
ChIP-exo	GSM4450282	SRX8043137	rep1	14976	Tpd3
ChIP-exo	GSM4450283	SRX8043138	rep1	11919	Tpk1
ChIP-exo	GSM4450284	SRX8043139	rep2	17579	Tpk1
ChIP-exo	GSM4450285	SRX8043140	rep1	15245	Tpk2
ChIP-exo	GSM4450286	SRX8043141	rep2	17191	Tpk2
ChIP-exo	GSM4450287	SRX8043142	rep1	14192	Tpk3
ChIP-exo	GSM4450288	SRX8043143	rep1	14826	Tra1
ChIP-exo	GSM4450289	SRX8043144	rep1	14447	Trm1
ChIP-exo	GSM4450290	SRX8043145	rep1	12851	Trp5
ChIP-exo	GSM4450291	SRX8043146	rep1	13782	Tup1
ChIP-exo	GSM4450292	SRX8043147	rep2	15773	Tup1
ChIP-exo	GSM4450293	SRX8043148	rep1	12465	Uaf30
ChIP-exo	GSM4450294	SRX8043149	rep2	17561	Uaf30
ChIP-exo	GSM4450295	SRX8043150	rep1	12850	Uba2
ChIP-exo	GSM4450296	SRX8043151	rep1	13472	Ubc13
ChIP-exo	GSM4450297	SRX8043152	rep1	12447	Ubp12
ChIP-exo	GSM4450298	SRX8043153	rep1	11962	Ubp8
ChIP-exo	GSM4450299	SRX8043154	rep2	11963	Ubp8
ChIP-exo	GSM4450300	SRX8043155	rep3	14981	Ubp8
ChIP-exo	GSM4450301	SRX8043156	rep4	15672	Ubp8
ChIP-exo	GSM4450302	SRX8043157	rep5	20128	Ubp8
ChIP-exo	GSM4450303	SRX8043158	rep1	17214	Uga3
ChIP-exo	GSM4450304	SRX8043159	rep1	12027	Ume1
ChIP-exo	GSM4450305	SRX8043184	rep2	17009	Ume1
ChIP-exo	GSM4450306	SRX8043185	rep1	11017	Ume6
ChIP-exo	GSM4450307	SRX8043186	rep2	13775	Ume6
ChIP-exo	GSM4450308	SRX8043187	rep1	14358	Ung1
ChIP-exo	GSM4450309	SRX8043188	rep1	20456	Upc2
ChIP-exo	GSM4450310	SRX8043189	rep1	14755	Ura4
ChIP-exo	GSM4450311	SRX8043190	rep1	14361	Ura6
ChIP-exo	GSM4450312	SRX8043191	rep1	17122	Urc2
ChIP-exo	GSM4450313	SRX8043192	rep2	18458	Urc2
ChIP-exo	GSM4450314	SRX8043193	rep1	13777	Ure2
ChIP-exo	GSM4450315	SRX8043194	rep1	11901	Uth1
ChIP-exo	GSM4450316	SRX8043195	rep1	14528	Utp10
ChIP-exo	GSM4450317	SRX8043196	rep1	12847	Utp15
ChIP-exo	GSM4450318	SRX8043197	rep1	17943	Utp4
ChIP-exo	GSM4450319	SRX8043198	rep1	14524	Utp5
ChIP-exo	GSM4450320	SRX8043199	rep1	13468	Utp8
ChIP-exo	GSM4450321	SRX8043200	rep1	14438	Utp9
ChIP-exo	GSM4450322	SRX8043201	rep1	14829	Vid21
ChIP-exo	GSM4450323	SRX8043202	rep2	17049	Vid21
ChIP-exo	GSM4450324	SRX8043203	rep1	13463	Vid22
ChIP-exo	GSM4450325	SRX8043204	rep2	16224	Vid22
ChIP-exo	GSM4450326	SRX8043205	rep1	18500	Vid27
ChIP-exo	GSM4450327	SRX8043206	rep1	11902	Vps36
ChIP-exo	GSM4450328	SRX8043207	rep1	11840	Vps71
ChIP-exo	GSM4450329	SRX8043592	rep2	15777	Vps71
ChIP-exo	GSM4450330	SRX8043593	rep1	13153	Vps72
ChIP-exo	GSM4450331	SRX8043594	rep2	18490	Vps72
ChIP-exo	GSM4450332	SRX8043595	rep1	11829	Vps75
ChIP-exo	GSM4450333	SRX8043596	rep1	11917	War1
ChIP-exo	GSM4450334	SRX8043597	rep2	14181	War1
ChIP-exo	GSM4450335	SRX8043598	rep1	14406	Whi5
ChIP-exo	GSM4450336	SRX8043599	rep2	14807	Whi5
ChIP-exo	GSM4450337	SRX8043600	rep1	17974	Wtm1
ChIP-exo	GSM4450338	SRX8043601	rep1	11980	Wtm2
ChIP-exo	GSM4450339	SRX8043602	rep1	17774	Xbp1
ChIP-exo	GSM4450340	SRX8043603	rep1	11832	Yaf9
ChIP-exo	GSM4450341	SRX8043604	rep1	17878	Yap1
ChIP-exo	GSM4450342	SRX8043605	rep2	20460	Yap1
ChIP-exo	GSM4450343	SRX8043606	rep1	17973	Yap3
ChIP-exo	GSM4450344	SRX8043607	rep1	11982	Yap5
ChIP-exo	GSM4450345	SRX8043608	rep2	18492	Yap5
ChIP-exo	GSM4450346	SRX8043609	rep1	12002	Yap7
ChIP-exo	GSM4450347	SRX8043610	rep2	14198	Yap7
ChIP-exo	GSM4450348	SRX8043611	rep1	11888	Ycg1
ChIP-exo	GSM4450349	SRX8043612	rep1	11887	Ycs4
ChIP-exo	GSM4450350	SRX8043613	rep2	17024	Ycs4
ChIP-exo	GSM4450351	SRX8043614	rep1	20024	Ydr1
ChIP-exo	GSM4450352	SRX8043615	rep1	17138	Yen1
ChIP-exo	GSM4450353	SRX8043616	rep1	14189	Yhm2
ChIP-exo	GSM4450354	SRX8043617	rep1	16019	Yhp1
ChIP-exo	GSM4450355	SRX8043618	rep1	18478	Yku70
ChIP-exo	GSM4450356	SRX8043619	rep1	17952	Yku80
ChIP-exo	GSM4450357	SRX8043620	rep2	20463	Yku80
ChIP-exo	GSM4450358	SRX8043621	rep1	17793	YLL032C
ChIP-exo	GSM4450359	SRX8043622	rep1	28327	YLR278C
ChIP-exo	GSM4450360	SRX8043623	rep1	11831	Yng1
ChIP-exo	GSM4450361	SRX8043624	rep1	12446	Yng2
ChIP-exo	GSM4450362	SRX8043625	rep2	15801	Yng2
ChIP-exo	GSM4450363	SRX8043626	rep1	20464	Yox1
ChIP-exo	GSM4450364	SRX8043627	rep2	21012	Yox1
ChIP-exo	GSM4450365	SRX8043628	rep3	28357	Yox1
ChIP-exo	GSM4450366	SRX8043629	rep1	13454	Ypr1
ChIP-exo	GSM4450367	SRX8043630	rep1	14857	Yra1
ChIP-exo	GSM4450368	SRX8043631	rep1	28271	Yrm1
ChIP-exo	GSM4450369	SRX8043632	rep1	14852	Yrr1
ChIP-exo	GSM4450370	SRX8043633	rep2	17054	Yrr1
ChIP-exo	GSM4450371	SRX8043634	rep1	14400	Ysa1
ChIP-exo	GSM4450372	SRX8043635	rep1	11933	Ysh1
ChIP-exo	GSM4450373	SRX8043636	rep2	13785	Ysh1
ChIP-exo	GSM4450374	SRX8043637	rep1	11893	Yta7
ChIP-exo	GSM4450375	SRX8043638	rep2	17015	Yta7
ChIP-exo	GSM4450376	SRX8043639	rep1	11817	Zap1
ChIP-exo	GSM4450377	SRX8043736	rep2	11983	Zap1
ChIP-exo	GSM4450378	SRX8043737	rep1	17807	Zms1
ChIP-exo	GSM4450379	SRX8043738	rep1	14846	Mks1
ChIP-exo	GSM4450380	SRX8043739	rep1	14413	Pta1
ChIP-exo	GSM4450381	SRX8043740	rep1	14380	Trm5
ChIP-exo	GSM4450382	SRX8043741	rep1	17586	Spo7
ChIP-exo	GSM4450383	SRX8043742	rep1	12031	Rtf1
ChIP-exo	GSM4450384	SRX8043743	rep1	14410	Rpb10
ChIP-exo	GSM4450385	SRX8043744	rep1	14412	Rei1
