#Assay	Accession	SRA Accession	Replicate	Sample ID	Yeast Target Common Name
ChIP-exo	GSM4449866	SRX8043834	rep2	16546	Rpa12
ChIP-exo	GSM4449867	SRX8043835	rep1	14776	Rpa135
ChIP-exo	GSM4449868	SRX8043836	rep2	17888	Rpa135
ChIP-exo	GSM4449869	SRX8043837	rep1	12104	Rpa14
ChIP-exo	GSM4449870	SRX8043838	rep2	17578	Rpa14
ChIP-exo	GSM4449871	SRX8043839	rep1	11876	Rpa190
ChIP-exo	GSM4449872	SRX8043840	rep2	17596	Rpa190
ChIP-exo	GSM4449873	SRX8042656	rep1	12097	Rpa34
ChIP-exo	GSM4449874	SRX8042657	rep2	17562	Rpa34
ChIP-exo	GSM4449875	SRX8042658	rep1	14260	Rpa43
ChIP-exo	GSM4449876	SRX8042659	rep2	16026	Rpa43
ChIP-exo	GSM4449877	SRX8042660	rep1	17572	Rpa49
ChIP-exo	GSM4449878	SRX8042661	rep1	11868	RPB11
ChIP-exo	GSM4449879	SRX8042662	rep2	13801	RPB11
ChIP-exo	GSM4449880	SRX8042663	rep1	12123	Rpb2
ChIP-exo	GSM4449881	SRX8042664	rep2	14282	Rpb2
ChIP-exo	GSM4449882	SRX8042665	rep1	8929	Rpb3
ChIP-exo	GSM4449883	SRX8042666	rep2	11746	Rpb3
ChIP-exo	GSM4449884	SRX8042667	rep3	19398	Rpb3
ChIP-exo	GSM4449885	SRX8042668	rep1	14834	Rpb4
ChIP-exo	GSM4449886	SRX8042669	rep2	17052	Rpb4
ChIP-exo	GSM4449887	SRX8042670	rep1	12115	Rpb7
ChIP-exo	GSM4449888	SRX8042671	rep2	14280	Rpb7
ChIP-exo	GSM4449889	SRX8042672	rep1	11869	Rpb9
ChIP-exo	GSM4449890	SRX8042673	rep2	14256	Rpb9
ChIP-exo	GSM4449891	SRX8042674	rep1	11823	Rpc17
ChIP-exo	GSM4449892	SRX8042675	rep2	14298	Rpc17
ChIP-exo	GSM4449893	SRX8042676	rep1	11884	Rpc19
ChIP-exo	GSM4449894	SRX8042677	rep2	13802	Rpc19
ChIP-exo	GSM4449895	SRX8042678	rep1	12421	Rpc25
ChIP-exo	GSM4449896	SRX8042679	rep2	14614	Rpc25
ChIP-exo	GSM4449897	SRX8042872	rep1	14833	Rpc31
ChIP-exo	GSM4449898	SRX8042873	rep1	14832	Rpc34
ChIP-exo	GSM4449899	SRX8042874	rep2	19335	Rpc34
ChIP-exo	GSM4449900	SRX8042875	rep1	17964	Rpc37
ChIP-exo	GSM4449901	SRX8042876	rep2	18484	Rpc37
ChIP-exo	GSM4449902	SRX8042877	rep1	14356	RPC40
ChIP-exo	GSM4449903	SRX8042878	rep2	14654	RPC40
ChIP-exo	GSM4449904	SRX8042879	rep1	14351	Rpc53
ChIP-exo	GSM4449905	SRX8042880	rep2	14652	Rpc53
ChIP-exo	GSM4449906	SRX8042881	rep1	19326	Rpc82
ChIP-exo	GSM4449907	SRX8042882	rep1	11754	Rpd3
ChIP-exo	GSM4449908	SRX8042883	rep2	17858	Rpd3
ChIP-exo	GSM4449909	SRX8042884	rep1	16038	Rph1
ChIP-exo	GSM4449910	SRX8042885	rep2	17854	Rph1
ChIP-exo	GSM4449911	SRX8042886	rep1	14780	Rpn11
ChIP-exo	GSM4449912	SRX8042887	rep1	14371	Rpn14
ChIP-exo	GSM4449913	SRX8042888	rep1	11941	Rpn4
ChIP-exo	GSM4449914	SRX8042889	rep2	13807	Rpn4
ChIP-exo	GSM4449915	SRX8042890	rep1	17782	Rpo21
ChIP-exo	GSM4449916	SRX8042891	rep2	19307	Rpo21
ChIP-exo	GSM4449917	SRX8042892	rep1	17130	Rpo31
ChIP-exo	GSM4449918	SRX8042893	rep2	18461	Rpo31
ChIP-exo	GSM4449919	SRX8042894	rep1	12038	Rrd1
ChIP-exo	GSM4449920	SRX8042895	rep1	20448	Rrn10
ChIP-exo	GSM4449921	SRX8043376	rep2	20990	Rrn10
ChIP-exo	GSM4449922	SRX8043377	rep1	12846	Rrn11
ChIP-exo	GSM4449923	SRX8043378	rep1	16531	Rrn5
ChIP-exo	GSM4449924	SRX8043379	rep2	17212	Rrn5
ChIP-exo	GSM4449925	SRX8043380	rep1	14424	Rrn6
ChIP-exo	GSM4449926	SRX8043381	rep2	15005	Rrn6
ChIP-exo	GSM4449927	SRX8043382	rep1	12837	Rrn7
ChIP-exo	GSM4449928	SRX8043383	rep1	16516	Rrn9
